mu,eta,distance,targets,number-of-flights,inside,outside
1.100000,482.28,100000036.583338,192912,673630,4768,188144
1.200000,473.709,100000175.635177,189484,665001,5627,183857
1.300000,463.387,100000115.144407,185355,794367,6561,178794
1.400000,449.713,100000426.324708,179886,1006135,7053,172833
1.500000,436.054,100000192.696812,174422,1289998,7560,166862
1.600000,421.605,100000488.841744,168643,1645241,7563,161080
1.700000,408.64,100000086.078372,163456,2067093,7858,155598
1.800000,397.419,100000327.832138,158968,2554951,7931,151037
1.900000,386.859,100000255.921979,154744,3080784,7883,146861
2.000000,377.867,100000886.364991,151148,3653917,7968,143180
2.100000,370.275,100000694.173388,148111,4240732,7757,140354
2.200000,363.34,100000626.153906,145337,4859455,7529,137808
2.300000,358.091,100000511.613975,143237,5448115,7515,135722
2.400000,353.147,100000138.504082,141259,6040401,7370,133889
2.500000,349.813,100000705.199456,139926,6610901,7431,132495
2.600000,346.749,100000185.509590,138700,7149510,7259,131441
2.700000,344.914,100000354.568365,137966,7649596,7409,130557
2.800000,342.601,100000315.791112,137041,8120421,7200,129841
2.900000,341.343,100000546.788875,136538,8562798,7269,129269
3.000000,340.219,100000163.482445,136088,8974278,7227,128861
