mu,eta,distance,targets,number-of-flights
0.100000,124.195,100000033.255355,4967802,9262507
0.200000,113.69,100000033.429738,4547584,8933988
0.300000,107.038,100000009.322833,4281509,10147314
0.400000,101.86,100000023.778745,4074402,12204976
0.500000,97.2499,100000023.906917,3889995,14985613
0.600000,97.2499,100000023.906917,3889995,14985613
0.700000,89.7192,100000014.964169,3588769,22627016
0.800000,86.6384,100000053.569912,3465537,27408069
0.900000,84.0236,100000023.164847,3360946,32665901
1.000000,81.8347,100000024.470175,3273387,38328747
1.100000,79.9122,100000050.582230,3196489,44206298
1.200000,78.4363,100000005.599518,3137452,50208642
1.300000,77.2146,100000057.034843,3088584,56184706
1.400000,76.2077,100000001.654783,3048310,62015851
1.500000,75.3547,100000053.027928,3014189,67657311
1.600000,74.716,100000039.049881,2988640,73002751
1.700000,74.2423,100000043.668395,2969693,78073761
1.800000,73.7616,100000035.849802,2950467,82812303
1.900000,73.4141,100000039.932637,2936564,87163010
2.000000,73.1206,100000026.087896,2924824,91238316
